Programming name,Short name,Long name,Long name (FR),Category,Subcategory,Set,Unit_ref,Color
CAR_BIOMEOH,Car Biomethanol,Biomethanol-Powered Car ,Voiture au biométhanol,Private Mobility,Car,,pkm/h,#D22D6F
CAR_CNG,Car CNG,Compressed Natural Gas-Powered Car,Voiture au gaz naturel comprimé,Private Mobility,Car,,pkm/h,#394F5F
CAR_CSNG,Car CSNG,Compressed Synthetic Natural Gas-Powered Car,Voiture au gaz naturel synthétique comprimé,Private Mobility,Car,CA,pkm/h,#84949F
CAR_DIESEL,Car Diesel,Diesel-Powered Car,Voiture au diesel,Private Mobility,Car,,pkm/h,#57310F
CAR_DIESEL_LOCAL,Car Diesel Local,Diesel-Powered Car for Local Use,Voiture au diesel pour usage local,Private Mobility,Car,,pkm/h,#5E3511
CAR_DIESEL_LONGD,Car Diesel LD,Diesel-Powered Car for Long Distances,Voiture au diesel pour longues distances,Private Mobility,Car,,pkm/h,#653912
CAR_ETOH_E10,Car Ethanol E10,Ethanol-Powered Car (E10 Blend),Voiture à l'éthanol (mélange E10),Private Mobility,Car,,pkm/h,#CA7932
CAR_ETOH_E10_LOCAL,Car Ethanol E10 Local,Ethanol-Powered Car (E10 Blend) for Local Use,Voiture à l'éthanol (mélange E10) pour usage local,Private Mobility,Car,,pkm/h,#CD7E38
CAR_ETOH_E10_LONGD,Car Ethanol E10 LD,Ethanol-Powered Car (E10 Blend) for Long Distances,Voiture à l'éthanol (mélange E10) pour longues distances,Private Mobility,Car,,pkm/h,#CF823F
CAR_ETOH_E85,Car Ethanol E85,Ethanol-Powered Car with E85 Blend,Voiture à l'éthanol (mélange E85),Private Mobility,Car,CA,pkm/h,#D18746
CAR_ETOH_E85_LOCAL,Car Ethanol E85  Local,Ethanol-Powered Car with E85 Blend for Local Use,Voiture à l'éthanol (mélange E85) pour usage local,Private Mobility,Car,,pkm/h,#D38C4E
CAR_ETOH_E85_LONGD,Car Ethanol E85  LD,Ethanol-Powered Car with E85 Blend for Long Distances,Voiture à l'éthanol (mélange E85) pour longues distances,Private Mobility,Car,,pkm/h,#D49055
CAR_EV,Car Electric,Electric-Powered Car,Voiture électrique,Private Mobility,Car,,pkm/h,#FFD700
CAR_FC_CH4,Car Fuel Cell CH4,Fuel Cell-Powered Car with Methane,Voiture à pile à combustible au méthane,Private Mobility,Car,,pkm/h,#2C9398
CAR_FC_CH4_LOCAL,Car Fuel Cell CH4 Local,Fuel Cell-Powered Car with Methane for Local Use,Voiture à pile à combustible au méthane pour usage local,Private Mobility,Car,,pkm/h,#2E9AA0
CAR_FC_CH4_LONGD,Car Fuel Cell CH4 LD,Fuel Cell-Powered Car with Methane for Long Distances,Voiture à pile à combustible au méthane pour longues distances,Private Mobility,Car,,pkm/h,#30A1A7
CAR_FC_H2,Car Fuel Cell H2,Fuel Cell-Powered Car with Hydrogen,Voiture à pile à combustible à l'hydrogène,Private Mobility,Car,,pkm/h,#2B8DAD
CAR_FC_H2_LOCAL,Car Fuel Cell H2 Local,Fuel Cell-Powered Car with Hydrogen for Local Use,Voiture à pile à combustible à l'hydrogène pour usage local,Private Mobility,Car,,pkm/h,#2E95B8
CAR_FC_H2_LONGD,Car Fuel Cell H2 LD,Fuel Cell-Powered Car with Hydrogen for Long Distances,Voiture à pile à combustible à l'hydrogène pour longues distances,Private Mobility,Car,,pkm/h,#309DC2
CAR_FUEL_CELL,Car FC,Fuel Cell-Powered Car,Voiture à pile à combustible,Private Mobility,Car,,pkm/h,#2985A3
CAR_GASOLINE,Car Gasoline,Gasoline-Powered Car,Voiture à essence,Private Mobility,Car,,pkm/h,#8A3C1D
CAR_GASOLINE_LOCAL,Car Gasoline Local,Gasoline-Powered Car for Local Use,Voiture à essence pour usage local,Private Mobility,Car,,pkm/h,#9A4321
CAR_GASOLINE_LONGD,Car Gasoline LD,Gasoline-Powered Car for Long Distances,Voiture à essence pour longues distances,Private Mobility,Car,,pkm/h,#AB4A24
CAR_HEV,Car HEV,Hybrid Gasoline-Powered Car,Voiture hybride à essence,Private Mobility,Car,,pkm/h,#A3E635
CAR_HEV_LOCAL,Car Hybrid Electric Local,Hybrid Electric Car for Local Use,Voiture hybride électrique pour usage local,Private Mobility,Car,,pkm/h,#AAD865
CAR_HEV_LONGD,Car Hybrid Electric Car LD,Hybrid Electric Car for Long Distances,Voiture hybride électrique pour longues distances,Private Mobility,Car,CA,pkm/h,#AFDB6D
CAR_HY_GASOLINE,Car Hybrid Gasoline,Gasoline Hybrid Car,Voiture hybride à essence,Private Mobility,Car,,pkm/h,#A0D453
CAR_MEOH,Car Methanol,Methanol-Powered Car ,Voiture au méthanol,Private Mobility,Car,,pkm/h,#E892B4
CAR_MEOH_LOCAL,Car Methanol Local,Methanol-Powered Car for Local Use,Voiture au méthanol pour usage local,Private Mobility,Car,,pkm/h,#EA9EBD
CAR_MEOH_LONGD,Car Methanol  LD,Methanol-Powered Car for Long Distances,Voiture au méthanol pour longues distances,Private Mobility,Car,,pkm/h,#EDABC5
CAR_NG,Car NG,Natural Gas-Powered Car,Voiture au gaz naturel,Private Mobility,Car,CA,pkm/h,#92ABBD
CAR_NG_LOCAL,Car Natural Gas  Local,Natural Gas-Powered Car for Local Use,Voiture au gaz naturel pour usage local,Private Mobility,Car,,pkm/h,#99B1C2
CAR_NG_LONGD,Car Natural Gas LD,Natural Gas-Powered Car for Long Distances,Voiture au gaz naturel pour longues distances,Private Mobility,Car,,pkm/h,#A1B7C6
CAR_PHEV,Car PHEV Gasoline,Plug-in Hybrid Gasoline-Powered Car,Voiture hybride rechargeable à essence,Private Mobility,Car,,pkm/h,#BDE188
CAR_PHEV_GASOLINE,Car PHEV Gasoline,Plug-in Hybrid Gasoline-Powered Car,Voiture hybride rechargeable à essence,Private Mobility,Car,,pkm/h,#BDE188
CAR_PHEV_LOCAL,Car PHEV Local,Plug-in Hybrid Electric Car for Local Use,Voiture hybride rechargeable électrique pour usage local,Private Mobility,Car,CA,pkm/h,#B4DD76
CAR_PHEV_LONGD,Car PHEV LD,Plug-in Hybrid Electric Car for Long Distances,Voiture hybride rechargeable électrique pour longues distances,Private Mobility,Car,CA,pkm/h,#B8DF7F
CAR_PROPANE,Car Propane,Propane-Powered Car,Voiture au propane,Private Mobility,Car,CA,pkm/h,#9E5B2E
CARBON_CAPTURE,Carbon Capture,Post-Combustion Carbon Capture,Captage de CO2 en postcombustion,CCUS,Capture,,ktCO2_eq/h,#A9DBE6
CCGT,CCGT,Combined Cycle Gas Turbine,Turbine à gaz à cycle combiné,Electricity Production,Thermal,,kW,#304250
CCGT_BIOGAS,CCGT BioGas,Combined Cycle BioGas Turbine,Turbine à biogaz à cycle combiné,Electricity Production,Thermal,,kW,#87C567
CCGT_BIOGAS_CC,CCGT BioGas CC,Combined Cycle BioGas Turbine with Carbon Capture,Turbine à biogaz à cycle combiné avec captage de CO2,Electricity Production,Thermal,,kW,#277586
CCGT_CC,CCGT CC,Combined Cycle Gas Turbine with Carbon Capture,Turbine à gaz à cycle combiné avec captage de CO2,Electricity Production,Thermal,,kW,#2F8DA2
CEMENT,Cement,Cement,Ciment,Flow,Flow,,kt,
CEMENT_PROD,Cement Prod.,Cement Production,Production de ciment,Specific sectors,Cement,,kt/h,#7E7367
CEMENT_PROD_HP,Cement Prod. HP,Cement Production with Heat Pump,Production de ciment avec pompe à chaleur,Specific sectors,Cement,,kt/h,#F47B25
CEMENT_PROD_ORC,Cement Prod. ORC,Cement Production with Organic Rankine Cycle,Production de ciment avec cycle de Rankine organique,Specific sectors,Cement,,kt/h,#AFA69D
CO2_C,Carbon dioxide,Carbon dioxide,Dioxyde de carbone,Flow,Flow,,kt,
CO2_METHANOL,CO2 to Methanol,Conversion of CO2 to Methanol,Conversion du CO2 en méthanol,Bioprocesses,Synfuel,,kW,#DA5289
CO2_STO,CO2 Storage (input),CO2 Storage (input),Stockage de CO2 (entrée),CCUS,Storage,,ktCO2_eq/h,#1F5D6B
CO2_TO_DIESEL,CO2 to Diesel,Conversion of CO2 to Diesel,Conversion du CO2 en diesel,Bioprocesses,Synfuel,,kW,#6D28D9
CO2_TO_JETFUELS,CO2 to Jetfuels,Conversion of CO2 to Jet Fuels,Conversion du CO2 en carburant aviation,Bioprocesses,Synfuel,,kW,#A78BFA
COACH_BIODIESEL_B100,Coach BioDiesel,100% BioDiesel-Powered Coach,Autocar au biodiesel 100%,Public Mobility,Road,CA,pkm/h,#7C5512
COACH_BIODIESEL_B20,Coach BioDiesel 20%,20% BioDiesel-Powered Coach,Autocar au biodiesel 20%,Public Mobility,Road,,pkm/h,#B67D1A
COACH_BIOETOH_E10,Coach BioEthanol 10%,10% BioEthanol-Powered Coach,Autocar au bioéthanol 10%,Public Mobility,Road,,pkm/h,#663D19
COACH_CNG,Coach CNG,Compressed Natural Gas-Powered Coach,Autocar au gaz naturel comprimé,Public Mobility,Road,,pkm/h,#3E5567
COACH_CNG_STOICH,Coach CNG,Compressed Natural Gas-Powered Coach,Autocar au gaz naturel comprimé,Public Mobility,Road,CA,pkm/h,#3E5567
COACH_CSNG,Compressed Synthetic Natural Gas-Powered Coach,Compressed Synthetic Natural Gas-Powered Coach,Autocar au gaz naturel synthétique comprimé,Public Mobility,Road,,pkm/h,#8A99A3
COACH_DIESEL,Coach Diesel,Diesel-Powered Coach,Autocar au diesel,Public Mobility,Road,,pkm/h,#6C3D13
COACH_ETOH_E10,Coach Ethanol 10%,10% Ethanol-Powered Coach,Autocar à l'éthanol 10%,Public Mobility,Road,,pkm/h,#74461D
COACH_EV,Coach Electric,Electric-Powered Coach,Autocar électrique,Public Mobility,Road,CA,pkm/h,#D5B500
COACH_FC_CH4,Coach Methane FC,Methane Fuel Cell-Powered Coach,Autocar à pile à combustible méthane,Public Mobility,Road,CA,pkm/h,#37B5BC
COACH_FC_HYBRID_CH4,Coach Methane Fuel Cell,Fuel Cell Coach with Methane Hybridization,Autocar à pile à combustible avec hybridation méthane,Public Mobility,Road,,pkm/h,#2A8C91
COACH_FC_HYBRID_H2,Hydrogen Fuel Cell Coach,Fuel Cell Coach with Hydrogen Hybridization,Autocar à pile à combustible avec hybridation hydrogène,Public Mobility,Road,,pkm/h,#267C99
COACH_GASOLINE,Coach Gasoline,Gasoline-Powered Coach,Autocar à essence,Public Mobility,Road,,pkm/h,#9A3412
COACH_HY_DIESEL,Hybrid Diesel Coach,Diesel Hybrid Coach,Autocar hybride diesel,Public Mobility,Road,,pkm/h,#87C030
COACH_PROPANE,Coach Propane,Propane-Powered Coach,Autocar au propane,Public Mobility,Road,CA,pkm/h,#A86031
COAL,Coal,Coal,Charbon,Resource,Resource,,kWh,#404040
COAL_GAS_H2,Coal Gasification H2,Hydrogen from Coal Gasification,Hydrogène par gazéification du charbon,Hydrogen Production,Hydrogen,,kW,#8D9DA5
COAL_GAS_H2_ADV,Advanced Coal Gasification H2,Hydrogen from Advanced Coal Gasification,Hydrogène par gazéification avancée du charbon,Hydrogen Production,Hydrogen,,kW,#4F5D64
COAL_GAS_H2_ADV_CCS,Advanced Coal Gasification H2 CC,Hydrogen from Advanced Coal Gasification with Carbon Capture,Hydrogène par gazéification avancée du charbon avec captage de CO2,Hydrogen Production,Hydrogen,,kW,#69C0D3
COAL_GAS_H2_CCS,Coal Gasification H2 CC,Hydrogen from Coal Gasification with Carbon Capture,Hydrogène par gazéification du charbon avec captage de CO2,Hydrogen Production,Hydrogen,,kW,#84CBDB
COAL_IGCC,Coal IGCC,Integrated Gasification Combined Cycle,Cycle combiné à gazéification intégrée,Electricity Production,Thermal,,kW,#8C8C8C
COAL_IGCC_CC,Coal IGCC CC,Integrated Gasification Combined Cycle with Carbon Capture,Cycle combiné à gazéification intégrée avec captage de CO2,Electricity Production,Thermal,,kW,#A0D7E3
COAL_US,Coal US,Coal Ultra-Supercritical,Charbon ultra-supercritique,Electricity Production,Thermal,,kW,#535353
COAL_US_CC,Coal US CC,Coal Ultra-Supercritical with Carbon Capture,Charbon ultra-supercritique avec captage de CO2,Electricity Production,Thermal,,kW,#246D7D
COMMUTER_RAIL_DIESEL,Train Diesel,Diesel-Powered Commuter Train,Train de banlieue au diesel,Public Mobility,Rail,,pkm/h,#744114
COMMUTER_RAIL_ELEC,Train Electric SD,Metro,Métro,Public Mobility,Rail,,pkm/h,#D4B800
CROPS_TO_ETHANOL,Crops to Ethanol,Conversion of Crops to Ethanol,Conversion des cultures en éthanol,Bioprocesses,Synfuel,,kW,#B56C2D
CROPS_TO_JETFUELS,Crops to Jetfuels,Conversion of Crops to Jet Fuels,Conversion des cultures en carburant aviation,Bioprocesses,Synfuel,,kW,#BC712F
CUMENE_PROCESS,Cumene Process,Cumene Production Process,Procédé de production du cumène,Specific sectors,Chemical,,kt/h,#5E547E
DAC_HT,DAC HT,Direct Air Capture at High Temperature,Captage direct à haute température,CCUS,Capture,,ktCO2_eq/h,#3BACC6
DAC_LT,DAC LT,Direct Air Capture at Low Temperature,Captage direct à basse température,CCUS,Capture,,ktCO2_eq/h,#44B0C9
DEC_ADVCOGEN_H2,DEC Cogen H2,Decentralized Cogeneration with Hydrogen,Cogénération décentralisée à l'hydrogène,Decentralized heating,Cogeneration,,kW,#C3EEEA
DEC_BOILER_BIOGAS,DEC Boiler BioGas,Decentralized Boiler with BioGas Combustion,Chaudière décentralisée à combustion de biogaz,Decentralized heating,Boiler,,kW,#8DC86F
DEC_BOILER_BIOOIL,DEC Boiler BioOil,Decentralized Boiler with BioOil Combustion,Chaudière décentralisée à combustion de biohuile,Decentralized heating,Boiler,,kW,#889E44
DEC_BOILER_GAS,DEC Boiler Gas,Decentralized Boiler with Gas Combustion,Chaudière décentralisée à combustion de gaz,Decentralized heating,Boiler,,kW,#5E829C
DEC_BOILER_OIL,DEC Boiler Oil,Decentralized Boiler with Oil Combustion,Chaudière décentralisée à combustion de mazout,Decentralized heating,Boiler,,kW,#382010
DEC_BOILER_WOOD,DEC Boiler Wood,Decentralized Boiler with Wood Combustion,Chaudière décentralisée à combustion de bois,Decentralized heating,Boiler,,kW,#174F2C
DEC_COGEN_BIOGAS,DEC Cogen BioGas,Decentralized Cogeneration with BioGas Combustion,Cogénération décentralisée à combustion de biogaz,Decentralized heating,Cogeneration,,kW,#92CB76
DEC_COGEN_BIOOIL,DEC Cogen BioOil,Decentralized Cogeneration with BioOil Combustion,Cogénération décentralisée à combustion de biohuile,Decentralized heating,Cogeneration,,kW,#92AB49
DEC_COGEN_GAS,DEC Cogen Gas,Decentralized Cogeneration with Gas Combustion,Cogénération décentralisée à combustion de gaz,Decentralized heating,Cogeneration,,kW,#6488A2
DEC_COGEN_OIL,DEC Cogen Oil,Decentralized Cogeneration with Oil Combustion,Cogénération décentralisée à combustion de mazout,Decentralized heating,Cogeneration,,kW,#412513
DEC_COGEN_WOOD,DEC Cogen Wood,Decentralized Cogeneration with Wood Combustion,Cogénération décentralisée à combustion de bois,Decentralized heating,Cogeneration,,kW,#34B262
DEC_DIRECT_ELEC,DEC Direct Elec.,Decentralized Direct Electricity,Électricité directe décentralisée,Decentralized heating,Electricity,,kW,#C0A300
DEC_HP_ELEC,DEC HP Elec,Decentralized Heat Pump Electricity,Pompe à chaleur électrique décentralisée,Decentralized heating,Heat Pump,,kW,#F97316
DEC_RENOVATION,DEC Renovation,Decentralized Energy System Renovation,Rénovation du système énergétique décentralisé,Decentralized heating,Renovation,,kW,#A3998F
DEC_SOLAR,DEC Solar,Decentralized Solar Thermal ,Solaire thermique décentralisé,Decentralized heating,Solar,,kW,#E0AD06
DEC_TH_STORAGE,DEC Thermal Storage,Decentralized Thermal Storage,Stockage thermique décentralisé,Decentralized heating,Storage,,kW,#385A83
DEC_THHP_BIOGAS,DEC THHP BioGas,Decentralized Thermal BioGas Heat Pump,Pompe à chaleur thermique au biogaz décentralisée,Decentralized heating,Heat Pump,,kW,#F58C41
DEC_THHP_GAS,DEC THHP Gas,Decentralized Thermal Gas Heat Pump,Pompe à chaleur thermique au gaz décentralisée,Decentralized heating,Heat Pump,,kW,#F79D5E
DEEP_SALINE,Deep Saline,Deep Saline Carbon Sequestration,Séquestration de carbone en aquifère salin profond,CCUS,Sequestration,,ktCO2_eq/h,#349DB4
DHN,DHN,District Heating Network,Réseau de chaleur urbain,Infrastructure Grid,Heat,,kW,#D79E75
DHN_BOILER_BIOGAS,DHN Boiler BioGas,District Heating Network Boiler with BioGas Combustion,Chaudière du réseau de chaleur urbain à combustion de biogaz,Centalized heating,Boiler,,kW,#98CE7E
DHN_BOILER_BIOOIL,DHN Boiler BioOil,District Heating Network Boiler with BioOil Combustion,Chaudière du réseau de chaleur urbain à combustion de biohuile,Centalized heating,Boiler,,kW,#9CB552
DHN_BOILER_GAS,DHN Boiler Gas,District Heating Network Boiler with Gas Combustion,Chaudière du réseau de chaleur urbain à combustion de gaz,Centalized heating,Boiler,,kW,#6B8EA6
DHN_BOILER_OIL,DHN Boiler Oil,District Heating Network Boiler with Oil Combustion,Chaudière du réseau de chaleur urbain à combustion de mazout,Centalized heating,Boiler,,kW,#4A2B16
DHN_BOILER_WOOD,DHN Boiler Wood,District Heating Network Boiler with Wood Combustion,Chaudière du réseau de chaleur urbain à combustion de bois,Centalized heating,Boiler,,kW,#4ADE80
DHN_COGEN_BIOGAS,DHN Cogen BioGas,District Heating Network Cogeneration with BioGas Combustion,Cogénération du réseau de chaleur urbain à combustion de biogaz,Centalized heating,Cogeneration,,kW,#9ED185
DHN_COGEN_GAS,DHN Cogen Gas,District Heating Network Cogeneration with Gas Combustion,Cogénération du réseau de chaleur urbain à combustion de gaz,Centalized heating,Cogeneration,,kW,#7394AB
DHN_COGEN_WASTE,DHN Cogen Waste,District Heating Network Cogeneration with Waste Combustion,Cogénération du réseau de chaleur urbain à combustion de déchets,Centalized heating,Cogeneration,,kW,#985D1B
DHN_COGEN_WASTE_CC,DHN Cogen Waste CC,District Heating Network Cogeneration with Waste Combustion with Carbon Capture,Cogénération du réseau de chaleur urbain à combustion de déchets avec captage de CO2,Centalized heating,Cogeneration,,kW,#56B8CE
